,location
368,"40.83298254995905,-73.94303548418004"
369,"40.8299871416836,-73.9400135188311"
370,"40.8299871416836,-73.9400135188311"
371,"40.83839593910082,-73.93856989840894"
372,"40.84412126123679,-73.93710018122808"
373,"40.84412126123679,-73.93710018122808"
374,"40.84412126123679,-73.93710018122808"
375,"40.83739776557092,-73.94638620313087"
376,"40.83739776557092,-73.94638620313087"
377,"40.83380835765621,-73.94329121615418"
378,"40.83143903892543,-73.94289222081176"
379,"40.83639266487466,-73.94012643023993"
380,"40.84239843681494,-73.94129235145468"
381,"40.83613611764756,-73.93944323919244"
382,"40.84133621005698,-73.93853025424357"
383,"40.84133621005698,-73.93853025424357"
384,"40.83605316662652,-73.93999789173287"
385,"40.85305411017742,-73.93497527766014"
386,"40.85305411017742,-73.93497527766014"
387,"40.850214424983164,-73.9393655222073"
388,"40.850214424983164,-73.9393655222073"
389,"40.850214424983164,-73.9393655222073"
390,"40.84555253135367,-73.93324212613237"
391,"40.85189187586691,-73.93549719178469"
392,"40.84522128699845,-73.93410818575842"
393,"40.85029570970045,-73.93280065258051"
394,"40.85029570970045,-73.93280065258051"
395,"40.845878988331776,-73.93513499412718"
396,"40.845878988331776,-73.93513499412718"
397,"40.845878988331776,-73.93513499412718"
398,"40.845878988331776,-73.93513499412718"
399,"40.845878988331776,-73.93513499412718"
400,"40.84884533531211,-73.93133487536164"
401,"40.84884533531211,-73.93133487536164"
402,"40.84884533531211,-73.93133487536164"
403,"40.84884533531211,-73.93133487536164"
404,"40.85407378132206,-73.93793976235001"
405,"40.85407378132206,-73.93793976235001"
406,"40.84525102711678,-73.9346110994826"
407,"40.85276958984066,-73.933032127588"
408,"40.85276958984066,-73.933032127588"
409,"40.85276958984066,-73.933032127588"
410,"40.84956581839727,-73.93108247121856"
411,"40.84956581839727,-73.93108247121856"
412,"40.84956581839727,-73.93108247121856"
413,"40.848760091207765,-73.93772446961903"
414,"40.848760091207765,-73.93772446961903"
415,"40.85356677467591,-73.93751141829296"
416,"40.84715336574377,-73.93588723527834"
417,"40.84715336574377,-73.93588723527834"
418,"40.84482589229155,-73.93839332815396"
419,"40.84482589229155,-73.93839332815396"
420,"40.84883935894358,-73.9341015469744"
421,"40.85064424553872,-73.93757480369747"
422,"40.85064424553872,-73.93757480369747"
423,"40.85064424553872,-73.93757480369747"
424,"40.85064424553872,-73.93757480369747"
425,"40.84854491770056,-73.93600319411455"
426,"40.84854491770056,-73.93600319411455"
427,"40.84854491770056,-73.93600319411455"
428,"40.84854491770056,-73.93600319411455"
429,"40.84854491770056,-73.93600319411455"
430,"40.84854491770056,-73.93600319411455"
431,"40.84854491770056,-73.93600319411455"
432,"40.85231816812472,-73.93476332857351"
433,"40.85020903618671,-73.93013238529447"
434,"40.84441573681965,-73.93520207112934"
435,"40.84441573681965,-73.93520207112934"
436,"40.85432064365224,-73.93606664594844"
437,"40.86823120005951,-73.92182931665532"
438,"40.86823120005951,-73.92182931665532"
439,"40.86823120005951,-73.92182931665532"
440,"40.86308241473946,-73.92411745316656"
441,"40.86308241473946,-73.92411745316656"
442,"40.86308241473946,-73.92411745316656"
443,"40.86698717672855,-73.9284695538941"
444,"40.87105592893244,-73.91323018188177"
445,"40.86470645518586,-73.91881615125902"
446,"40.86942710768398,-73.91489158333415"
447,"40.86393786024654,-73.92211974671312"
448,"40.86393786024654,-73.92211974671312"
449,"40.86393786024654,-73.92211974671312"
450,"40.86960335407806,-73.92360818455982"
451,"40.86960335407806,-73.92360818455982"
452,"40.86960335407806,-73.92360818455982"
453,"40.870360129606105,-73.91983550368519"
454,"40.865032069863744,-73.9211195600394"
455,"40.865032069863744,-73.9211195600394"
456,"40.865032069863744,-73.9211195600394"
457,"40.865032069863744,-73.9211195600394"
458,"40.865032069863744,-73.9211195600394"
459,"40.865032069863744,-73.9211195600394"
460,"40.865032069863744,-73.9211195600394"
461,"40.865032069863744,-73.9211195600394"
462,"40.86628538044166,-73.9262163144494"
463,"40.86628538044166,-73.9262163144494"
464,"40.866779436631184,-73.92430754351355"
465,"40.866779436631184,-73.92430754351355"
466,"40.866779436631184,-73.92430754351355"
467,"40.866779436631184,-73.92430754351355"
468,"40.866779436631184,-73.92430754351355"
469,"40.86874226221448,-73.91551215514713"
470,"40.86638371937443,-73.9311101706569"
471,"40.86638371937443,-73.9311101706569"
472,"40.86638371937443,-73.9311101706569"
473,"40.86939948780979,-73.91483454925228"
474,"40.869053395619225,-73.92276683875338"
475,"40.869053395619225,-73.92276683875338"
476,"40.869053395619225,-73.92276683875338"
477,"40.869053395619225,-73.92276683875338"
478,"40.869053395619225,-73.92276683875338"
479,"40.867120195698135,-73.92791070394942"
480,"40.867120195698135,-73.92791070394942"
481,"40.86861265812376,-73.91927398443877"
482,"40.86861265812376,-73.91927398443877"
483,"40.86625425038221,-73.91909217635494"
484,"40.86625425038221,-73.91909217635494"
485,"40.86625425038221,-73.91909217635494"
486,"40.80077575589039,-73.93657264197239"
487,"40.80369921414959,-73.93970941699796"
488,"40.803366682387725,-73.93870505896413"
489,"40.80504319391655,-73.9372712050588"
490,"40.79959258482995,-73.94246781638468"
491,"40.79896577890396,-73.9375582547111"
492,"40.80276087283057,-73.93978345793462"
493,"40.80675214885873,-73.93865068411483"
494,"40.80064214462832,-73.9383807749361"
495,"40.80064214462832,-73.9383807749361"
496,"40.80064214462832,-73.9383807749361"
497,"40.79762543233738,-73.932158670592"
498,"40.806352855899135,-73.93576200923228"
499,"40.760963624819055,-73.99505508708751"
500,"40.812939295144965,-73.93736591493351"
501,"40.812939295144965,-73.93736591493351"
502,"40.812939295144965,-73.93736591493351"
503,"40.812939295144965,-73.93736591493351"
504,"40.812856944827374,-73.93855661183393"
505,"40.81232903921343,-73.93549877019662"
506,"40.81086686528735,-73.94014685598809"
507,"40.811720175674296,-73.93711085496166"
508,"40.81304087242148,-73.93663242550345"
509,"40.81304087242148,-73.93663242550345"
510,"40.81304087242148,-73.93663242550345"
511,"40.81304087242148,-73.93663242550345"
512,"40.81304087242148,-73.93663242550345"
513,"40.8122524178824,-73.93554380096747"
514,"40.81527026450063,-73.93943436501577"
515,"40.813065290004,-73.93703893353248"
516,"40.813065290004,-73.93703893353248"
517,"40.813065290004,-73.93703893353248"
518,"40.813065290004,-73.93703893353248"
519,"40.813065290004,-73.93703893353248"
520,"40.81160456105021,-73.939329718166"
521,"40.8162029567098,-73.94006914788311"
522,"40.70989421290061,-73.99855133127978"
523,"40.71217708416395,-73.99917531736818"
524,"40.71217708416395,-73.99917531736818"
525,"40.71289414351979,-73.99830555627403"
526,"40.71051345713795,-74.00609641430218"
527,"40.70945008996694,-73.99846338034189"
528,"40.70976852193306,-73.99849459532632"
529,"40.82565519399727,-73.94076164596535"
530,"40.82843729777372,-73.93737122141881"
531,"40.82843729777372,-73.93737122141881"
532,"40.82805211719516,-73.93873765730979"
533,"40.82805211719516,-73.93873765730979"
534,"40.82805211719516,-73.93873765730979"
535,"40.82725925782984,-73.93724724431564"
536,"40.82725925782984,-73.93724724431564"
537,"40.82194050387168,-73.93763222891332"
538,"40.825361241086576,-73.93821307900667"
539,"40.825361241086576,-73.93821307900667"
540,"40.825361241086576,-73.93821307900667"
541,"40.83080690101208,-73.93684660483686"
542,"40.83080690101208,-73.93684660483686"
543,"40.83080690101208,-73.93684660483686"
544,"40.83080690101208,-73.93684660483686"
545,"40.83080690101208,-73.93684660483686"
546,"40.83080690101208,-73.93684660483686"
547,"40.82511093363093,-73.94068570240664"
548,"40.823974356386735,-73.93719400498532"
549,"40.823974356386735,-73.93719400498532"
550,"40.823974356386735,-73.93719400498532"
551,"40.823974356386735,-73.93719400498532"
552,"40.824535595785854,-73.93831090482269"
553,"40.824535595785854,-73.93831090482269"
554,"40.824535595785854,-73.93831090482269"
555,"40.824535595785854,-73.93831090482269"
556,"40.824592194809966,-73.93751212750597"
557,"40.824592194809966,-73.93751212750597"
558,"40.824592194809966,-73.93751212750597"
559,"40.824592194809966,-73.93751212750597"
560,"40.829441117838286,-73.93918719018892"
561,"40.82629436158857,-73.94014244941498"
562,"40.82350940773311,-73.93843124626042"
563,"40.82350940773311,-73.93843124626042"
564,"40.82350940773311,-73.93843124626042"
565,"40.82350940773311,-73.93843124626042"
566,"40.8270490194683,-73.93642635364834"
567,"40.82838054886321,-73.93943665127998"
568,"40.82827478943023,-73.93697871531235"
569,"40.82827478943023,-73.93697871531235"
570,"40.85349131152509,-73.92787184757319"
571,"40.85349131152509,-73.92787184757319"
572,"40.85349131152509,-73.92787184757319"
573,"40.85349131152509,-73.92787184757319"
574,"40.85349131152509,-73.92787184757319"
575,"40.85349131152509,-73.92787184757319"
576,"40.85996025817568,-73.92614270919917"
577,"40.85996025817568,-73.92614270919917"
578,"40.85996025817568,-73.92614270919917"
579,"40.85996025817568,-73.92614270919917"
580,"40.85996025817568,-73.92614270919917"
581,"40.85996025817568,-73.92614270919917"
582,"40.86078481788333,-73.92761972420139"
583,"40.86078481788333,-73.92761972420139"
584,"40.86078481788333,-73.92761972420139"
585,"40.86078481788333,-73.92761972420139"
586,"40.86078481788333,-73.92761972420139"
587,"40.86078481788333,-73.92761972420139"
588,"40.86078481788333,-73.92761972420139"
589,"40.86078481788333,-73.92761972420139"
590,"40.86078481788333,-73.92761972420139"
591,"40.86078481788333,-73.92761972420139"
592,"40.856254623872594,-73.93838062085783"
593,"40.856254623872594,-73.93838062085783"
594,"40.85864266408592,-73.93084953115894"
595,"40.85864266408592,-73.93084953115894"
596,"40.86320994337248,-73.9306657131284"
597,"40.856916189078326,-73.93019591325472"
598,"40.856916189078326,-73.93019591325472"
599,"40.856916189078326,-73.93019591325472"
600,"40.856916189078326,-73.93019591325472"
601,"40.85780363868569,-73.93239738412092"
602,"40.85780363868569,-73.93239738412092"
603,"40.85780363868569,-73.93239738412092"
604,"40.863164900227495,-73.92846467848632"
605,"40.863164900227495,-73.92846467848632"
