,zipcode,size,amount_built
612,11105,small,0.0
613,11105,medium,0.0
614,11105,large,7.0
615,11106,small,0.0
616,11106,medium,0.0
617,11106,large,6.0
618,11109,small,0.0
619,11109,medium,0.0
620,11109,large,3.0
621,11201,small,0.0
622,11201,medium,0.0
623,11201,large,15.0
624,11203,small,0.0
625,11203,medium,0.0
626,11203,large,11.0
627,11204,small,0.0
628,11204,medium,0.0
629,11204,large,22.0
630,11205,small,0.0
631,11205,medium,0.0
632,11205,large,15.0
633,11206,small,0.0
634,11206,medium,0.0
635,11206,large,22.0
636,11207,small,0.0
637,11207,medium,0.0
638,11207,large,17.0
639,11208,small,0.0
640,11208,medium,0.0
641,11208,large,25.0
642,11209,small,0.0
643,11209,medium,0.0
644,11209,large,13.0
645,11210,small,0.0
646,11210,medium,0.0
647,11210,large,11.0
648,11211,small,0.0
649,11211,medium,0.0
650,11211,large,15.0
651,11212,small,0.0
652,11212,medium,0.0
653,11212,large,16.0
654,11213,small,0.0
655,11213,medium,0.0
656,11213,large,15.0
657,11214,small,0.0
658,11214,medium,0.0
659,11214,large,16.0
660,11215,small,0.0
661,11215,medium,0.0
662,11215,large,17.0
663,11216,small,0.0
664,11216,medium,0.0
665,11216,large,9.0
666,11217,small,0.0
667,11217,medium,0.0
668,11217,large,12.0
669,11218,small,0.0
670,11218,medium,0.0
671,11218,large,15.0
672,11219,small,0.0
673,11219,medium,0.0
674,11219,large,40.0
675,11220,small,0.0
676,11220,medium,0.0
677,11220,large,18.0
678,11221,small,0.0
679,11221,medium,0.0
680,11221,large,14.0
681,11222,small,0.0
682,11222,medium,0.0
683,11222,large,8.0
684,11223,small,0.0
685,11223,medium,0.0
686,11223,large,21.0
687,11224,small,0.0
688,11224,medium,0.0
689,11224,large,7.0
690,11225,small,0.0
691,11225,medium,0.0
692,11225,large,9.0
693,11226,small,0.0
694,11226,medium,0.0
695,11226,large,17.0
696,11228,small,0.0
697,11228,medium,0.0
698,11228,large,7.0
699,11229,small,0.0
700,11229,medium,0.0
701,11229,large,15.0
702,11230,small,0.0
703,11230,medium,0.0
704,11230,large,26.0
705,11231,small,0.0
706,11231,medium,0.0
707,11231,large,10.0
708,11232,small,0.0
709,11232,medium,0.0
710,11232,large,4.0
711,11233,small,0.0
712,11233,medium,0.0
713,11233,large,17.0
714,11234,small,0.0
715,11234,medium,0.0
716,11234,large,14.0
717,11235,small,0.0
718,11235,medium,0.0
719,11235,large,14.0
720,11236,small,0.0
721,11236,medium,0.0
722,11236,large,17.0
723,11237,small,0.0
724,11237,medium,0.0
725,11237,large,6.0
726,11238,small,0.0
727,11238,medium,0.0
