,facility_code,category,slot_expanded
692,829643,under5,0.0
693,829643,over5,0.0
694,340205,under5,0.0
695,340205,over5,0.0
696,744779,under5,0.0
697,744779,over5,0.0
698,129992,under5,0.0
699,129992,over5,0.0
700,64934,under5,0.0
701,64934,over5,0.0
702,265034,under5,0.0
703,265034,over5,0.0
704,688240,under5,0.0
705,688240,over5,0.0
706,825247,under5,0.0
707,825247,over5,0.0
708,678331,under5,0.0
709,678331,over5,0.0
710,827584,under5,0.0
711,827584,over5,0.0
712,709889,under5,7.0
713,709889,over5,0.0
714,709887,under5,0.0
715,709887,over5,0.0
716,259483,under5,0.0
717,259483,over5,0.0
718,576937,under5,0.0
719,576937,over5,0.0
720,138540,under5,0.0
721,138540,over5,0.0
722,887437,under5,0.0
723,887437,over5,0.0
724,894234,under5,0.0
725,894234,over5,0.0
726,883598,under5,0.0
727,883598,over5,0.0
728,902587,under5,0.0
729,902587,over5,0.0
730,894648,under5,32.0
731,894648,over5,0.0
732,902748,under5,25.0
733,902748,over5,0.0
734,894459,under5,23.0
735,894459,over5,0.0
736,893629,under5,0.0
737,893629,over5,0.0
738,902023,under5,0.0
739,902023,over5,0.0
740,898288,under5,0.0
741,898288,over5,0.0
742,914994,under5,0.0
743,914994,over5,0.0
744,499128,under5,0.0
745,499128,over5,0.0
746,847573,under5,0.0
747,847573,over5,0.0
748,568206,under5,0.0
749,568206,over5,0.0
750,664549,under5,0.0
751,664549,over5,0.0
752,846657,under5,0.0
753,846657,over5,0.0
754,836605,under5,0.0
755,836605,over5,0.0
756,513498,under5,0.0
757,513498,over5,0.0
758,789926,under5,0.0
759,789926,over5,0.0
760,870836,under5,3.0
761,870836,over5,0.0
762,796576,under5,0.0
763,796576,over5,0.0
764,709906,under5,0.0
765,709906,over5,0.0
766,257741,under5,0.0
767,257741,over5,0.0
768,790141,under5,0.0
769,790141,over5,0.0
770,71688,under5,0.0
771,71688,over5,0.0
772,306118,under5,0.0
773,306118,over5,0.0
774,872615,under5,0.0
775,872615,over5,0.0
776,74242,under5,0.0
777,74242,over5,0.0
778,817993,under5,0.0
779,817993,over5,0.0
780,475384,under5,45.0
781,475384,over5,0.0
782,762331,under5,0.0
783,762331,over5,0.0
784,325027,under5,0.0
785,325027,over5,0.0
786,417619,under5,0.0
787,417619,over5,0.0
788,889318,under5,0.0
789,889318,over5,0.0
790,909015,under5,0.0
791,909015,over5,0.0
792,908901,under5,0.0
793,908901,over5,0.0
794,900110,under5,0.0
795,900110,over5,0.0
796,901275,under5,0.0
797,901275,over5,0.0
798,910710,under5,0.0
799,910710,over5,0.0
800,554568,under5,0.0
801,554568,over5,0.0
802,816768,under5,0.0
803,816768,over5,0.0
804,876224,under5,0.0
805,876224,over5,0.0
806,52238,under5,0.0
807,52238,over5,0.0
808,364340,under5,0.0
809,364340,over5,0.0
810,523174,under5,0.0
811,523174,over5,0.0
812,475386,under5,0.0
813,475386,over5,0.0
814,637571,under5,59.0
815,637571,over5,0.0
816,451719,under5,0.0
817,451719,over5,0.0
818,780304,under5,0.0
819,780304,over5,0.0
820,688158,under5,0.0
821,688158,over5,0.0
822,65097,under5,0.0
823,65097,over5,0.0
824,791329,under5,0.0
825,791329,over5,0.0
826,386867,under5,0.0
827,386867,over5,0.0
828,397430,under5,0.0
829,397430,over5,0.0
830,275294,under5,0.0
831,275294,over5,0.0
832,870165,under5,0.0
833,870165,over5,0.0
834,65104,under5,0.0
835,65104,over5,0.0
836,51199,under5,0.0
837,51199,over5,0.0
838,571556,under5,0.0
839,571556,over5,0.0
840,282569,under5,0.0
841,282569,over5,0.0
842,863359,under5,15.0
843,863359,over5,0.0
844,734640,under5,0.0
845,734640,over5,0.0
846,816327,under5,16.0
847,816327,over5,0.0
848,798009,under5,0.0
849,798009,over5,0.0
850,215109,under5,0.0
851,215109,over5,0.0
852,344265,under5,0.0
853,344265,over5,0.0
854,873937,under5,0.0
855,873937,over5,0.0
856,878416,under5,0.0
857,878416,over5,0.0
858,698060,under5,0.0
859,698060,over5,0.0
860,158699,under5,0.0
861,158699,over5,0.0
862,684078,under5,29.0
863,684078,over5,0.0
864,769924,under5,0.0
865,769924,over5,0.0
866,229764,under5,0.0
867,229764,over5,0.0
868,612679,under5,0.0
869,612679,over5,0.0
870,349322,under5,0.0
871,349322,over5,0.0
872,584441,under5,0.0
873,584441,over5,0.0
874,854112,under5,0.0
875,854112,over5,0.0
876,491506,under5,0.0
877,491506,over5,0.0
878,629131,under5,0.0
879,629131,over5,0.0
880,307551,under5,0.0
881,307551,over5,0.0
882,228662,under5,0.0
883,228662,over5,0.0
884,71551,under5,0.0
885,71551,over5,0.0
886,250047,under5,0.0
887,250047,over5,0.0
888,864336,under5,0.0
889,864336,over5,0.0
890,835919,under5,24.0
891,835919,over5,0.0
892,364266,under5,0.0
893,364266,over5,0.0
894,154383,under5,0.0
895,154383,over5,0.0
896,336171,under5,0.0
897,336171,over5,0.0
898,649096,under5,0.0
899,649096,over5,0.0
900,603270,under5,0.0
901,603270,over5,0.0
902,920147,under5,0.0
903,920147,over5,0.0
904,919342,under5,0.0
905,919342,over5,0.0
906,921705,under5,0.0
907,921705,over5,0.0
908,907934,under5,0.0
909,907934,over5,0.0
910,883844,under5,0.0
911,883844,over5,0.0
